operation,_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,ts,unit,value,filename,_default_access,_group_modify,_group_privileged,_group_read_only,_row_etag,_row_owner
NEW,b49ac2db-6c8e-4d78-aa18-270eec896e92,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000569,uri_user,8/5/13 11:19,C,26,alfashir1_B12.csv,,,,,,
NEW,67671aaa-ce7c-4c1e-8a00-c4ab40fbd6e4,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000569,uri_user,8/5/13 11:26,C,26,alfashir1_B12.csv,,,,,,
NEW,7934796f-dcd5-4c80-9f04-dcc625774f90,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000569,uri_user,8/5/13 11:34,C,26,alfashir1_B12.csv,,,,,,
NEW,f7f2b4fb-3fa6-456e-a659-53ff2b878e8c,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000569,uri_user,8/5/13 11:41,C,26,alfashir1_B12.csv,,,,,,
NEW,468cdb81-aabd-4861-b310-8d9f121e2f00,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000570,uri_user,8/5/13 11:48,C,26,alfashir1_B12.csv,,,,,,
NEW,0e468fdd-52a2-497c-9788-b4124430a3ee,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000570,uri_user,8/5/13 11:56,C,26.5,alfashir1_B12.csv,,,,,,
NEW,c2ff367d-f8e0-467f-9e56-07926e946c2e,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000570,uri_user,8/5/13 12:03,C,26.5,alfashir1_B12.csv,,,,,,
NEW,f8c66268-2d8c-4c4c-aa41-9d662dceb997,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000571,uri_user,8/5/13 12:10,C,26.5,alfashir1_B12.csv,,,,,,
NEW,a3465e82-27ea-463f-ab79-9c349465ea63,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000571,uri_user,8/5/13 12:18,C,27,alfashir1_B12.csv,,,,,,
NEW,7e709a3f-5171-4554-b2cb-e6d1827e40a8,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000571,uri_user,8/5/13 12:25,C,27,alfashir1_B12.csv,,,,,,
NEW,02589ffb-2c48-48ce-919e-5e10b0956ab9,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000571,uri_user,8/5/13 12:33,C,27,alfashir1_B12.csv,,,,,,
NEW,72d03470-6801-40ff-80f7-3ce269193f50,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000572,uri_user,8/5/13 12:40,C,27,alfashir1_B12.csv,,,,,,
NEW,9ed4f6e1-6fc0-41fd-8422-ea5b9e113b4d,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000572,uri_user,8/5/13 12:47,C,38.5,alfashir1_B12.csv,,,,,,
NEW,e41aab39-af36-42db-9753-99ee7d814311,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000572,uri_user,8/5/13 12:55,C,52,alfashir1_B12.csv,,,,,,
NEW,86d34fd8-2835-4511-81ed-f6f02597b35f,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000572,uri_user,8/5/13 13:02,C,73,alfashir1_B12.csv,,,,,,
NEW,ffd6cda2-6b75-49f1-81c4-440cbf800953,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000573,uri_user,8/5/13 13:09,C,94.5,alfashir1_B12.csv,,,,,,
NEW,56da8f3c-83c3-4c38-ba11-4cf927b641fe,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000573,uri_user,8/5/13 13:17,C,87.5,alfashir1_B12.csv,,,,,,
NEW,8b724eb6-db6c-461a-a6aa-27dfbf6ae4ae,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000573,uri_user,8/5/13 13:24,C,79,alfashir1_B12.csv,,,,,,
NEW,5e6cbf0f-bca7-4a9f-afc9-9ac73eaa5c0a,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000573,uri_user,8/5/13 13:32,C,74.5,alfashir1_B12.csv,,,,,,
NEW,d5efd243-24a8-438a-ae2b-df4b042cb316,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000573,uri_user,8/5/13 13:39,C,75,alfashir1_B12.csv,,,,,,
NEW,df295b8b-fcf6-412c-8530-8dbf1b78cd2b,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000574,uri_user,8/5/13 13:46,C,68.5,alfashir1_B12.csv,,,,,,
NEW,afed157a-5e36-4a02-a2c1-518cfcc9e240,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000574,uri_user,8/5/13 13:54,C,61.5,alfashir1_B12.csv,,,,,,
NEW,486e2197-ba16-47c1-a679-b318256dc58e,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000574,uri_user,8/5/13 14:01,C,55.5,alfashir1_B12.csv,,,,,,
NEW,c986d6b4-4f2b-46a1-8e31-ff0617c7e990,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000574,uri_user,8/5/13 14:09,C,68,alfashir1_B12.csv,,,,,,
NEW,26bfa6bf-27a7-464f-b366-a6f95ac2a7fe,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000575,uri_user,8/5/13 14:16,C,81,alfashir1_B12.csv,,,,,,
NEW,61ff94e4-f63e-4552-b7a1-e4897cd630bd,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000575,uri_user,8/5/13 14:23,C,79.5,alfashir1_B12.csv,,,,,,
NEW,7f0e0e75-e92a-47e6-b5ce-bc27e37d21fd,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000575,uri_user,8/5/13 14:31,C,74.5,alfashir1_B12.csv,,,,,,
NEW,98153743-bf49-4f50-bc65-f3144d188e17,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000575,uri_user,8/5/13 14:38,C,66.5,alfashir1_B12.csv,,,,,,
NEW,80c3c1ad-fefd-488f-b606-9a05bbfc6680,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000575,uri_user,8/5/13 14:45,C,60,alfashir1_B12.csv,,,,,,
NEW,9a2af972-2826-4aea-a574-dc78e7e8ba39,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000576,uri_user,8/5/13 14:53,C,55.5,alfashir1_B12.csv,,,,,,
NEW,6a99c912-2559-4e4a-99a9-abd8d479f340,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000576,uri_user,8/5/13 15:00,C,51.5,alfashir1_B12.csv,,,,,,
NEW,bbf8cb20-d111-4d4b-a984-561fd8fc8b89,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000576,uri_user,8/5/13 15:08,C,48.5,alfashir1_B12.csv,,,,,,
NEW,70dd6150-4d71-42fa-92b0-2b4f4689a3ef,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000576,uri_user,8/5/13 15:15,C,46,alfashir1_B12.csv,,,,,,
NEW,2b8534a7-2eea-4f05-a66a-a2e8c411ddb4,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000576,uri_user,8/5/13 15:22,C,44,alfashir1_B12.csv,,,,,,
NEW,299b0edf-941c-406c-b5cc-f2e27bb97f9d,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000577,uri_user,8/5/13 15:30,C,42.5,alfashir1_B12.csv,,,,,,
NEW,325450fe-ebf8-4e1f-898d-7476a78ae2b2,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000577,uri_user,8/5/13 15:37,C,50,alfashir1_B12.csv,,,,,,
NEW,7a7d79ea-0d53-4fcd-b498-80bc6c791f0e,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000577,uri_user,8/5/13 15:45,C,64.5,alfashir1_B12.csv,,,,,,
NEW,4335abde-2cff-4993-bfe5-299284c726f7,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000577,uri_user,8/5/13 15:52,C,59,alfashir1_B12.csv,,,,,,
NEW,ed56da43-ba84-4bbd-8eec-ba7cb8c0792e,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000577,uri_user,8/5/13 15:59,C,55,alfashir1_B12.csv,,,,,,
NEW,3ef2f113-0fc0-47aa-9042-7283e1342259,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000577,uri_user,8/5/13 16:07,C,54,alfashir1_B12.csv,,,,,,
NEW,8bac3495-29f5-4480-a7e5-dc8ff5ebed90,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000578,uri_user,8/5/13 16:14,C,52.5,alfashir1_B12.csv,,,,,,
NEW,2e4f6b72-188f-44f6-b5f8-ac306b84c82c,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000578,uri_user,8/5/13 16:21,C,49.5,alfashir1_B12.csv,,,,,,
NEW,fa7ce1be-38d3-40b9-a624-3dfeb5dcf20b,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000578,uri_user,8/5/13 16:29,C,47,alfashir1_B12.csv,,,,,,
NEW,b4e23434-11c5-4b14-89d6-577e079f18bf,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000578,uri_user,8/5/13 16:36,C,45,alfashir1_B12.csv,,,,,,
NEW,d33dd8e5-e057-410f-93b4-8845c43c6723,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000578,uri_user,8/5/13 16:44,C,48.5,alfashir1_B12.csv,,,,,,
NEW,16cd9d3c-518c-4b73-828a-32c0d1a0aff3,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000579,uri_user,8/5/13 16:51,C,55,alfashir1_B12.csv,,,,,,
NEW,7d8126b6-2519-405c-8deb-8c85aa0db1e6,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000579,uri_user,8/5/13 16:58,C,58,alfashir1_B12.csv,,,,,,
NEW,a30d4d65-a1e8-40c6-af2e-60ac14e1c7b3,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000579,uri_user,8/5/13 17:06,C,56.5,alfashir1_B12.csv,,,,,,
NEW,d71801c9-8391-4f31-919a-3dc4dd48f369,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000579,uri_user,8/5/13 17:13,C,57,alfashir1_B12.csv,,,,,,
NEW,f2450949-1bca-495f-85c5-58ab0bd4671e,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000579,uri_user,8/5/13 17:21,C,55.5,alfashir1_B12.csv,,,,,,
NEW,f16c0557-8658-4aa1-864f-b36d29a607fe,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000580,uri_user,8/5/13 17:28,C,55.5,alfashir1_B12.csv,,,,,,
NEW,a8f2f3cb-7002-454b-b5a8-07248b6d2e68,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000580,uri_user,8/5/13 17:35,C,55,alfashir1_B12.csv,,,,,,
NEW,38af7964-0c2d-4bae-9a15-864b9f56854a,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000580,uri_user,8/5/13 17:43,C,52.5,alfashir1_B12.csv,,,,,,
NEW,6cc47dcc-a7fe-4dd3-917d-ef7d7eb5df5c,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000580,uri_user,8/5/13 17:50,C,53.5,alfashir1_B12.csv,,,,,,
NEW,128cd67f-84a8-465b-b3f6-bd6743fbaf4d,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000580,uri_user,8/5/13 17:57,C,53,alfashir1_B12.csv,,,,,,
NEW,f6ab710e-9806-4276-a041-6e89698f51fa,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000581,uri_user,8/5/13 18:05,C,46,alfashir1_B12.csv,,,,,,
NEW,b01ffc6a-f19f-4267-a7f3-861b429a0dbd,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000581,uri_user,8/5/13 18:12,C,39,alfashir1_B12.csv,,,,,,
NEW,33f30984-7a13-4fee-a14c-6f2514eea677,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000581,uri_user,8/5/13 18:20,C,36.5,alfashir1_B12.csv,,,,,,
NEW,9eafa03c-d2ba-4795-9e33-36f2be22eb37,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000581,uri_user,8/5/13 18:27,C,35.5,alfashir1_B12.csv,,,,,,
NEW,ae702c32-fbc2-48b9-8a47-5593b6bec757,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000581,uri_user,8/5/13 18:34,C,34.5,alfashir1_B12.csv,,,,,,
NEW,d507080a-61aa-452d-9331-ef452c9eb4d5,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000582,uri_user,8/5/13 18:42,C,34.5,alfashir1_B12.csv,,,,,,
NEW,434cd9e6-6721-49f2-8835-87aff85f2533,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000582,uri_user,8/5/13 18:49,C,36.5,alfashir1_B12.csv,,,,,,
NEW,6ab78f16-675d-4b36-8557-9c56364a7494,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000582,uri_user,8/5/13 18:57,C,54.5,alfashir1_B12.csv,,,,,,
NEW,e471ab21-b6ad-4885-9a16-00831ded6c3c,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000582,uri_user,8/5/13 19:04,C,65.5,alfashir1_B12.csv,,,,,,
NEW,db52ee1c-9478-40b1-ae8f-a8e6df911eb4,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000583,uri_user,8/5/13 19:11,C,64.5,alfashir1_B12.csv,,,,,,
NEW,b0009bd7-0650-4d3b-905c-62f00d504641,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000583,uri_user,8/5/13 19:19,C,61.5,alfashir1_B12.csv,,,,,,
NEW,dd797f7f-ffcc-40d6-93e7-fd67a81a1169,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000583,uri_user,8/5/13 19:26,C,64.5,alfashir1_B12.csv,,,,,,
NEW,8bfc9cfc-dc28-4c43-b5ae-9f2594a8ca78,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000583,uri_user,8/5/13 19:33,C,74,alfashir1_B12.csv,,,,,,
NEW,f9832198-4f8a-4b60-a086-7afaaec04cc0,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000584,uri_user,8/5/13 19:41,C,66.5,alfashir1_B12.csv,,,,,,
NEW,f427e3f5-020b-45dc-9be0-c4ce627ef8c7,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000584,uri_user,8/5/13 19:48,C,59,alfashir1_B12.csv,,,,,,
NEW,326bc4a9-ead1-4ea2-89de-5bf4df494ad8,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000584,uri_user,8/5/13 19:56,C,59,alfashir1_B12.csv,,,,,,
NEW,e6cb780b-c108-4a5c-adb7-8986543f2ca7,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000585,uri_user,8/5/13 20:03,C,58,alfashir1_B12.csv,,,,,,
NEW,f2a97133-c4b4-4747-94d2-535111a2aa80,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000585,uri_user,8/5/13 20:10,C,56.5,alfashir1_B12.csv,,,,,,
NEW,8bfe4a9a-3df1-4437-acf6-95a884a2e9fa,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000585,uri_user,8/5/13 20:18,C,58,alfashir1_B12.csv,,,,,,
NEW,a480166e-5703-46bf-88fa-fc3fec7b4cd9,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000585,uri_user,8/5/13 20:25,C,58.5,alfashir1_B12.csv,,,,,,
NEW,1fa8a58a-00d1-4a7a-83cf-061ba006f57f,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000586,uri_user,8/5/13 20:32,C,54.5,alfashir1_B12.csv,,,,,,
NEW,660b2e86-44d7-4634-bcaa-94fd56f3e423,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000586,uri_user,8/5/13 20:40,C,50,alfashir1_B12.csv,,,,,,
NEW,e47487ee-113e-482a-87aa-dab5fecc1f1b,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000586,uri_user,8/5/13 20:47,C,47,alfashir1_B12.csv,,,,,,
NEW,373c2b3e-8beb-4a0b-878d-0cbc58db5ae6,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000587,uri_user,8/5/13 20:55,C,45,alfashir1_B12.csv,,,,,,
NEW,9695e3d3-01a7-4f7a-99ea-0e6f7e8132e8,73b58020-2d91-11e4-8c21-0800200c9a66,en,COMPLETE,2014-09-12T11:01:37.000000587,uri_user,8/5/13 21:02,C,43,alfashir1_B12.csv,,,,,,
